time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,,Magnitude,Difference,Square,Moving Average,Peaks above .32 and in between the start and end phases,Steps(1 if step),Total Steps
0.389831543,-0.346978456,1.959125996,9.102721214,0.007460579,-0.03090998,0.029843649,2.5,-25.5559082,-18.88166809,,9.317623207,0.03218499,0.001035874,0.017166051,,0,
0.399810791,-0.284258872,2.081870794,9.185498238,0,-0.023448868,0.029843649,2.5,-25.5559082,-18.88166809,,9.422757929,0.105134722,0.01105331,0.017807328,,0,
0.409790039,-0.356708229,1.91990757,9.182804108,0.004263188,-0.014922224,0.028777853,2.5,-25.5559082,-18.88166809,,9.388140237,-0.034617691,0.001198385,0.017858,,0,
0.419799804,-0.237406313,2.243534565,9.221424103,0.00959244,-0.00106633,0.022382537,2.299987793,-25.65496826,-17.71372986,,9.493390942,0.105250705,0.011077711,0.015329476,,0,
0.42980957,-0.335153043,1.774709463,9.341324806,0.011724034,0.005328985,0.018119348,2.299987793,-25.65496826,-17.71372986,,9.514319228,0.020928286,0.000437993,0.014733524,,0,
0.439788818,-0.436492324,1.987417102,9.039551735,0.00959244,-0.002132127,0.015987223,2.299987793,-25.65496826,-17.71372986,,9.265735149,-0.248584079,0.061794044,0.02031167,,0,
0.449737549,-0.456101537,1.975741386,9.103019714,0.007460579,-0.014922224,0.014921425,2,-25.65496826,-17.61639404,,9.326121946,0.060386797,0.003646565,0.020603677,,0,
0.459747314,-0.233364716,2.046095133,9.284442902,0.00959244,-0.024514664,0.011724034,2,-25.65496826,-17.61639404,,9.510091712,0.183969766,0.033844875,0.016189717,,0,
0.469726563,-0.313448191,2.042951584,9.16588974,0.017053019,-0.027712587,0.010658237,2.299987793,-25.65496826,-17.71372986,,9.396032975,-0.114058737,0.013009396,0.015700313,,0,
0.479736328,-0.310604095,2.012714624,9.338779449,0.024514131,-0.029844182,0.008526376,2.299987793,-25.65496826,-17.71372986,,9.558258035,0.16222506,0.02631697,0.015007045,,0,
0.489715576,-0.179476783,2.084415436,9.172625542,0.029843649,-0.034107372,0.007460579,2.299987793,-25.65496826,-17.71372986,,9.408191056,-0.150066979,0.022520098,0.016903202,,0,
0.499725342,-0.270038456,2.128423929,9.1822052,0.031975243,-0.03090998,0.008526376,2,-25.4568634,-17.61639404,,9.429528171,0.021337115,0.000455272,0.01685042,,0,
0.50970459,-0.291443944,2.124083042,9.225615501,0.034106839,-0.023448868,0.008526376,2,-25.4568634,-17.61639404,,9.471465025,0.041936854,0.0017587,0.016005455,,0,
0.519683838,-0.232316896,2.143243074,8.877140045,0.037304495,-0.027712587,0.00959244,2,-25.4568634,-17.61639404,,9.135156123,-0.336308902,0.113103677,0.026178664,,0,
0.529663086,-0.461789697,1.90329206,9.149273872,0.041567683,-0.040502686,0.012789831,2.299987793,-25.5559082,-18.00570679,,9.356547589,0.221391465,0.049014181,0.029627434,,0,
0.539672852,-0.298179924,1.98906374,9.13161087,0.041567683,-0.052226719,0.013855628,2.299987793,-25.5559082,-18.00570679,,9.350486774,-0.006060815,3.67335E-05,0.029590956,,0,
0.549652099,-0.346529394,2.102677345,9.141489983,0.036238696,-0.053292517,0.012789831,2.099990845,-25.5559082,-18.00570679,,9.386595429,0.036108654,0.001303835,0.024091846,,0,
0.559631347,-0.204624474,1.86272645,9.079818726,0.031975243,-0.042634279,0.00959244,2.099990845,-25.5559082,-18.00570679,,9.27117733,-0.115418098,0.013321337,0.02497137,,0,
0.569641113,-0.421822816,2.191442966,9.214538574,0.030909447,-0.03837109,0.00959244,2.099990845,-25.5559082,-18.00570679,,9.480932333,0.209755002,0.043997161,0.025894306,,0,
0.579620361,-0.330812067,1.940115452,9.257199287,0.027712055,-0.03837109,0.00959244,2.299987793,-25.85307312,-17.32441711,,9.464101819,-0.016830514,0.000283266,0.024737385,,0,
0.589599609,-0.221090242,1.904639244,8.98192215,0.026645726,-0.041568484,0.008526376,2.299987793,-25.85307312,-17.32441711,,9.18430493,-0.279796889,0.078286299,0.029461869,,0,
0.599609375,-0.102237396,2.060016155,9.21423912,0.026645726,-0.046897735,0.008526376,2,-25.65496826,-17.12976074,,9.442262526,0.257957596,0.066542121,0.033463871,,0,
0.609588623,-0.236508176,2.056423664,9.203461647,0.035172634,-0.042634279,0.004263188,2,-25.65496826,-17.12976074,,9.43337271,-0.008889816,7.90288E-05,0.033429667,,0,
0.619598389,-0.152383119,2.039059639,9.237291336,0.039436091,-0.021317273,0.003197391,2,-25.65496826,-17.12976074,,9.460895098,0.027522388,0.000757482,0.033338647,,0,
0.629577636,-0.086071014,2.079176426,9.191636086,0.036238696,-0.004263721,0.003197391,2.5,-25.85307312,-17.51907349,,9.424253645,-0.036641453,0.001342596,0.023178549,,0,
0.639587402,-0.091759183,2.123933315,9.069190979,0.020250943,0.011724034,0.004263188,2.5,-25.85307312,-17.51907349,,9.315027509,-0.109226136,0.011930349,0.019807292,,0,
0.64956665,-0.272583157,1.996997237,8.990454674,0.008526376,0.017053019,0.003197391,2,-25.75402832,-18.1030426,,9.213608131,-0.101419378,0.01028589,0.020739033,,0,
0.659545898,-0.154029697,2.066452742,9.064101219,0.002131594,0.015987223,0.001065797,2,-25.75402832,-18.1030426,,9.297950473,0.084342342,0.007113631,0.021267196,,0,
0.669525146,-0.337697744,1.820214868,8.908424377,0,0.020250943,-0.002132127,2,-25.75402832,-18.1030426,,9.098749739,-0.199200733,0.039680932,0.023663523,,0,
0.679534912,-0.146245882,2.038910151,9.122778893,0.001065797,0.027712055,-0.008526909,2.5,-25.65496826,-17.51907349,,9.348991239,0.250241499,0.062620808,0.025356582,,0,
0.68951416,-0.201930091,2.145787716,8.906778336,-0.004263721,0.039436091,-0.01279063,2.5,-25.65496826,-17.51907349,,9.163835496,-0.185155742,0.034282649,0.028447435,,0,
0.69946289,-0.275427252,2.053879023,9.019494057,-0.006395315,0.052226186,-0.015988022,2.5,-25.65496826,-17.51907349,,9.254488222,0.090652726,0.008217917,0.022077582,,0,
0.709472656,-0.242196351,2.092797995,8.957971573,-0.013856427,0.057555705,-0.019185679,2.5,-25.65496826,-17.90838623,,9.202375629,-0.052112593,0.002715722,0.016275182,,0,
0.719451904,-0.350421309,1.961221576,9.099128723,-0.026646258,0.052226186,-0.021317273,2.5,-25.65496826,-17.90838623,,9.314683499,0.11230787,0.012613058,0.017414639,,0,
0.729431152,-0.320932627,2.16375041,9.015452385,-0.046897735,0.038370293,-0.018119881,2.5,-25.65496826,-17.90838623,,9.277025132,-0.037658367,0.001418153,0.0174747,,0,
0.739257812,-0.22513184,2.170935631,8.708440781,-0.072478198,0.017053019,-0.009593239,2.5,-25.75402832,-17.71372986,,8.977782949,-0.299242182,0.089545884,0.025493181,,0,
0.74923706,-0.205522612,1.917512536,9.044641495,-0.087399885,0.011724034,-0.005329518,2.5,-25.75402832,-17.71372986,,9.247952943,0.270169994,0.072991825,0.031044224,,0,
0.759246826,-0.150886238,2.021845579,8.903185844,-0.09699259,0.010658237,-0.006395315,2.5,-25.75402832,-17.71372986,,9.131119558,-0.116833385,0.01365004,0.031350056,,0,
0.769226074,-0.367785186,1.964365125,8.918154716,-0.088465683,0.033041041,-0.005329518,2.299987793,-25.85307312,-17.71372986,,9.139336947,0.008217389,6.75255E-05,0.030709501,,0,
0.779205322,-0.407752067,1.983225822,9.043593407,-0.08953201,0.033041041,-0.002132127,2.299987793,-25.85307312,-17.71372986,,9.267471506,0.128134559,0.016418465,0.028594731,,0,
0.789245606,-0.25057891,1.77126658,9.37395668,-0.088465683,0.036238696,0.006394783,2.299987793,-25.85307312,-17.71372986,,9.543125218,0.275653712,0.075984969,0.029809655,,0,
0.799194336,-0.430355072,2.195783854,8.959319115,-0.10765136,0.022382537,0.013855628,2.799987793,-25.4568634,-17.90838623,,9.234504384,-0.308620834,0.095246819,0.035351852,,0,
0.809204101,-0.391286314,1.875599623,9.112151146,-0.121507257,0.011724034,0.020250943,2.799987793,-25.4568634,-17.90838623,,9.311405771,0.076901387,0.005913823,0.035142389,,0,
0.819183349,-0.290545821,1.942510486,9.129963875,-0.120441459,-0.003197924,0.014921425,2.799987793,-25.4568634,-17.90838623,,9.338843837,0.027438066,0.000752847,0.034963946,,0,
0.829162598,-0.423469394,2.212249517,9.266330719,-0.116177738,-0.02238307,0.018119348,2.5,-25.35780334,-17.90838623,,9.53615537,0.197311533,0.038931841,0.037356563,,0,
0.839141846,-0.264200598,1.913021803,9.188642502,-0.104453437,-0.036239497,0.023448335,2.5,-25.35780334,-17.90838623,,9.389387914,-0.146767456,0.021540686,0.039185884,,0,
0.849151611,-0.3384462,1.879790902,9.236692429,-0.091663606,-0.04796353,0.024514131,2.5,-25.35780334,-17.90838623,,9.432107224,0.04271931,0.001824939,0.031211253,,0,
0.859130859,-0.240849152,1.822310448,8.974437714,-0.118309863,-0.068214744,0.031975243,2.5,-25.35780334,-18.39503479,,9.16075084,-0.271356384,0.073634287,0.031269659,,0,
0.869110107,-0.363294512,2.066901922,8.766669273,-0.147087723,-0.062885754,0.044765607,2.5,-25.35780334,-18.39503479,,9.014352811,-0.146398029,0.021432383,0.031977144,,0,
0.879089355,-0.618364096,1.899849296,9.023685455,-0.165207073,-0.042634279,0.041567683,2.5,-25.35780334,-18.39503479,,9.242223796,0.227870985,0.051925186,0.036691477,,0,
